time,inflow_m3_per_day,outflow_m3_per_day
1993-06-21T00:00:00,320241.6,
1993-06-22T00:00:00,13988.16,
1993-06-23T00:00:00,-213157.44,
1993-06-24T00:00:00,-519626.88,
1993-06-25T00:00:00,-383711.04,
1993-06-26T00:00:00,-366647.04,
1993-06-27T00:00:00,-161844.48,
1993-06-28T00:00:00,562057.92,
1993-06-29T00:00:00,-435101.76,
1993-06-30T00:00:00,-365869.44,
1993-07-01T00:00:00,-489888.0,
1993-07-02T00:00:00,-557124.48,
1993-07-03T00:00:00,70744.32,
1993-07-04T00:00:00,-370560.96,
1993-07-05T00:00:00,923158.08,
1993-07-06T00:00:00,-532008.0,
1993-07-07T00:00:00,-372885.12,
1993-07-08T00:00:00,-481178.88,
1993-07-09T00:00:00,-519073.92,
1993-07-10T00:00:00,-562032.0,
1993-07-11T00:00:00,-602259.84,
1993-07-12T00:00:00,-594241.92,
1993-07-13T00:00:00,-421070.4,
1993-07-14T00:00:00,-576685.44,
1993-07-15T00:00:00,-546480.0,
1993-07-16T00:00:00,-571985.28,
1993-07-17T00:00:00,-544916.16,
1993-07-18T00:00:00,-335784.96,
1993-07-19T00:00:00,-103360.32,
1993-07-20T00:00:00,139570.56,
1993-07-21T00:00:00,739117.44,
1993-07-22T00:00:00,38396.16,
1993-07-23T00:00:00,1002507.84,
1993-07-24T00:00:00,5584438.08,
1993-07-25T00:00:00,522728.64,
1993-07-26T00:00:00,-112605.12,
1993-07-27T00:00:00,-56756.16,
1993-07-28T00:00:00,800919.36,
1993-07-29T00:00:00,-180247.68,
1993-07-30T00:00:00,-324976.32,
1993-07-31T00:00:00,-312621.12,
1993-08-01T00:00:00,2179673.28,
1993-08-02T00:00:00,-429235.2,
1993-08-03T00:00:00,-315783.36,
1993-08-04T00:00:00,-408006.72,
1993-08-05T00:00:00,-261256.32,
1993-08-06T00:00:00,-387486.72,
1993-08-07T00:00:00,2551599.36,
1993-08-08T00:00:00,-242818.56,
1993-08-09T00:00:00,-168696.0,
1993-08-10T00:00:00,1845089.28,
1993-08-11T00:00:00,631419.84,
1993-08-12T00:00:00,-216103.68,
1993-08-13T00:00:00,1827273.6,
1993-08-14T00:00:00,112371.84,
1993-08-15T00:00:00,99498.24,
1993-08-16T00:00:00,1961850.24,
1993-08-17T00:00:00,2697589.44,
1993-08-18T00:00:00,3148632.0,
1993-08-19T00:00:00,1012633.92,
1993-08-20T00:00:00,841829.76,
1993-08-21T00:00:00,719288.64,
1993-08-22T00:00:00,777375.36,
1993-08-23T00:00:00,3581712.0,
1993-08-24T00:00:00,1268092.8,
1993-08-25T00:00:00,899925.12,
1993-08-26T00:00:00,435188.16,
1993-08-27T00:00:00,395928.0,
1993-08-28T00:00:00,360158.4,
1993-08-29T00:00:00,96526.08,
1993-08-30T00:00:00,41791.68,
1993-08-31T00:00:00,5244.48,
1993-09-01T00:00:00,166112.64,
1993-09-02T00:00:00,356520.96,
1993-09-03T00:00:00,89735.04,
1993-09-04T00:00:00,-50777.28,
1993-09-05T00:00:00,334730.88,
1993-09-06T00:00:00,269939.52,
1993-09-07T00:00:00,164592.0,
1993-09-08T00:00:00,47615.04,
1993-09-09T00:00:00,-40556.16,
1993-09-10T00:00:00,-54250.56,
1993-09-11T00:00:00,-56315.52,
1993-09-12T00:00:00,-10013.76,
1993-09-13T00:00:00,-8881.92,
1993-09-14T00:00:00,-75798.72,
1993-09-15T00:00:00,-60540.48,
1993-09-16T00:00:00,-60229.44,
1993-09-17T00:00:00,-78183.36,
1993-09-18T00:00:00,-25833.6,
1993-09-19T00:00:00,-49481.28,
1993-09-20T00:00:00,-53118.72,
1993-09-21T00:00:00,81077.76,
1993-09-22T00:00:00,33125.76,
1993-09-23T00:00:00,-12337.92,
1993-09-24T00:00:00,-56695.68,
1993-09-25T00:00:00,-52531.2,
1993-09-26T00:00:00,-53853.12,
1993-09-27T00:00:00,-47105.28,
1993-09-28T00:00:00,-55347.84,
1993-09-29T00:00:00,-57620.16,
1993-09-30T00:00:00,-50189.76,
1993-10-01T00:00:00,-55814.4,
1993-10-02T00:00:00,-52816.32,
1993-10-03T00:00:00,-32451.84,
1993-10-04T00:00:00,869598.72,
1993-10-05T00:00:00,-14843.52,
1993-10-06T00:00:00,-26412.48,
1993-10-07T00:00:00,138905.28,
1993-10-08T00:00:00,2777768.64,
1993-10-09T00:00:00,44953.92,
1993-10-10T00:00:00,4506183.36,
1993-10-11T00:00:00,338472.0,
1993-10-12T00:00:00,2920121.28,
1993-10-13T00:00:00,1088899.2,
1993-10-14T00:00:00,910232.64,
1993-10-15T00:00:00,774515.52,
1993-10-16T00:00:00,932299.2,
1993-10-17T00:00:00,497681.28,
1993-10-18T00:00:00,401803.2,
1993-10-19T00:00:00,424353.6,
1993-10-20T00:00:00,291142.08,
1993-10-21T00:00:00,245687.04,
1993-10-22T00:00:00,198970.56,
1993-10-23T00:00:00,167909.76,
1993-10-24T00:00:00,169240.32,
1993-10-25T00:00:00,137246.4,
1993-10-26T00:00:00,121322.88,
1993-10-27T00:00:00,170294.4,
1993-10-28T00:00:00,105926.4,
1993-10-29T00:00:00,105408.0,
1993-10-30T00:00:00,80749.44,
1993-10-31T00:00:00,74943.36,
1993-11-01T00:00:00,80956.8,
1993-11-02T00:00:00,68843.52,
1993-11-03T00:00:00,56557.44,
1993-11-04T00:00:00,52488.0,
1993-11-05T00:00:00,52937.28,
1993-11-06T00:00:00,46776.96,
1993-11-07T00:00:00,39908.16,
1993-11-08T00:00:00,42517.44,
1993-11-09T00:00:00,33117.12,
1993-11-10T00:00:00,33264.0,
1993-11-11T00:00:00,30611.52,
1993-11-12T00:00:00,34024.32,
